city,campaign_identity_sha256,replicas,transport_topology,campaign_components,raw_all_specular_transfer_m_inv2,raw_first_diffuse_transfer_m_inv2,standpoint,x_m,y_m,z_m,route_distance_m,raw_total_transfer_m_inv2,raw_direct_transfer_m_inv2,multipath_surplus_db,peak_sab_ensemble_field,peak_sab_mean_per_replica,mean_sab,absorbed_power,wbsar
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00021311448934600638,5.434310129696106e-06,0,-6.4231959398242084,-14.907748511581786,52.1987624674858,,0.001028066363942809,0.0008095175644671075,1.0379487395269578,3.474786560203971,3.474786560203971,2.136816636858631,4.001184749951893,0.05526498273414216
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00023369431317120024,5.415508480293416e-06,1,-5.235465303805377,-9.026481986736792,52.339019575064185,,0.0010766468394299558,0.0008375370177784637,1.0906925859032004,3.9920897224926177,3.9920897224926177,2.247206011373448,4.207888626291391,0.05812000865043356
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00022773880496113587,5.147852242362266e-06,2,-4.092835497172836,-3.137495780852446,52.33501436553312,,0.0011205771549081618,0.0008876904977046642,1.01180193310792,4.434851594774255,4.434851594774255,2.288117874132012,4.284496005014509,0.05917812161622252
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.0002869318197666636,6.63741882303287e-06,3,-3.2569253561226734,2.80399008011613,52.330931145917816,,0.0012115727351030199,0.0009180034965133236,1.205051561727134,4.807488879828046,4.807488879828046,2.4192434160868186,4.530028312161864,0.06256945182544012
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00023779460441983693,8.985185988271348e-06,4,-2.333989539257524,8.731858810927548,52.32710368484365,,0.0012467270355813053,0.000999947245173196,0.9579428909642145,5.257004916423064,5.257004916423064,2.3977832378485693,4.489844172625976,0.06201442227383945
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.0002748034235654368,1.5491770575993122e-05,5,-1.3150225922981924,14.644701305109546,52.4147968936823,,0.0013022710191131642,0.0010119758249717344,1.0953123803376354,5.564786961426251,5.564786961426251,2.400328222809258,4.494609651721336,0.06208024380830573
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.0002851329323701899,1.6695830776384493e-05,6,-0.2751265581568946,20.553888350344074,52.51453739189807,,0.0013260466696672444,0.0010242179065206706,1.1216644476779094,5.837013056993837,5.837013056993837,2.3815928867348037,4.459527773523058,0.0615956874796002
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00032624827052842346,1.8356111043915923e-05,7,0.8536009812348264,26.444046829177857,52.51181206567555,,0.00138532699103204,0.0010407226094597002,1.2421730627179144,6.045867772098173,6.045867772098173,2.5152664811266106,4.709831303608843,0.0650529185581332
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00035514573922928663,2.2469543681815908e-05,8,2.3504014881327517,32.25434701441356,52.6017513711259,,0.001464598613263247,0.0010869833303521433,1.2949573466632855,6.358621706825415,6.358621706825415,2.6537672063104747,4.969173626157234,0.0686349948364259
Ghent,4ce0b4dc8aa1a11e158f1de99923e6d3df4090684f036badcc4cbb69324d1072,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.0003722402807278581,2.2637960132550434e-05,9,2.608824390700596,33.25749648673098,52.656605736549814,,0.00147168597627244,0.0010768077354120307,1.3567698478379322,6.241056631147176,6.241056631147176,2.6664717456598606,4.9929628499133045,0.06896357527504562
