site,quantile,probability,normalized_wbsar_estimate,seed_standard_error,direct_share,all_specular_share,first_diffuse_share,observed_compute_seconds,campaign_identity_sha256
korenmarkt,q10,0.1,0.0077280740690971895,2.8010589815714253e-06,0.8072987527029085,0.12817485554028116,0.06452639175681035,25.595849656006976,b3960a55fcaab5fd79485544d4e1b2441eab9dd1d0f7310a29f0be5b5b8f5466
korenmarkt,q50,0.5,0.01281156270534468,6.115896793499794e-06,0.8072987527029085,0.12817485554028116,0.06452639175681035,25.595849656006976,b3960a55fcaab5fd79485544d4e1b2441eab9dd1d0f7310a29f0be5b5b8f5466
korenmarkt,q90,0.9,0.018571318787457918,6.865107404528959e-06,0.8072987527029085,0.12817485554028116,0.06452639175681035,25.595849656006976,b3960a55fcaab5fd79485544d4e1b2441eab9dd1d0f7310a29f0be5b5b8f5466
prague_staromestske,q10,0.1,0.006491983729438258,5.758394704580656e-06,0.7890333648205942,0.15377773946103465,0.057188895718371394,25.722534863001783,a96f06459b88ae1b326a9c197929a2315f4b0093ada231a0d652f6a0182eb420
prague_staromestske,q50,0.5,0.01191124929569794,2.4927199735336153e-06,0.7890333648205942,0.15377773946103465,0.057188895718371394,25.722534863001783,a96f06459b88ae1b326a9c197929a2315f4b0093ada231a0d652f6a0182eb420
prague_staromestske,q90,0.9,0.013660699431090287,1.0707130536668744e-05,0.7890333648205942,0.15377773946103465,0.057188895718371394,25.722534863001783,a96f06459b88ae1b326a9c197929a2315f4b0093ada231a0d652f6a0182eb420
brussels_grandplace,q10,0.1,0.003958575970998758,4.1781304931294015e-06,0.7548392843468004,0.1714492025515005,0.07371151310169906,30.999901097015027,1174db49a72b8ee1ab1b457395bc669711578a5a4d1ef8d802468959d24bab97
brussels_grandplace,q50,0.5,0.009350143740253355,3.4907913002517474e-06,0.7548392843468004,0.1714492025515005,0.07371151310169906,30.999901097015027,1174db49a72b8ee1ab1b457395bc669711578a5a4d1ef8d802468959d24bab97
brussels_grandplace,q90,0.9,0.01428362800203797,3.771728892885047e-06,0.7548392843468004,0.1714492025515005,0.07371151310169906,30.999901097015027,1174db49a72b8ee1ab1b457395bc669711578a5a4d1ef8d802468959d24bab97
madrid_plazamayor,q10,0.1,0.005550578065906028,2.4466873591475775e-06,0.7420357505232383,0.20040237223894086,0.05756187723782083,31.03296739799407,501820255f1a3f4058433672784a9f478371e4ad06191d8666559704c5e450ea
madrid_plazamayor,q50,0.5,0.011641540657622837,5.655582158223838e-06,0.7420357505232383,0.20040237223894086,0.05756187723782083,31.03296739799407,501820255f1a3f4058433672784a9f478371e4ad06191d8666559704c5e450ea
madrid_plazamayor,q90,0.9,0.015165185206203392,2.5200010417552975e-06,0.7420357505232383,0.20040237223894086,0.05756187723782083,31.03296739799407,501820255f1a3f4058433672784a9f478371e4ad06191d8666559704c5e450ea
mexico_zocalo,q10,0.1,0.005118263545411665,8.70067844121836e-07,0.8342516971667144,0.12519655573344576,0.04055174709983998,22.38584832100787,177219e26a355ea2ce209302f647bcc036db4b94d0dfd976428a794921b61682
mexico_zocalo,q50,0.5,0.010220132368796963,4.179397096424526e-06,0.8342516971667144,0.12519655573344576,0.04055174709983998,22.38584832100787,177219e26a355ea2ce209302f647bcc036db4b94d0dfd976428a794921b61682
mexico_zocalo,q90,0.9,0.02195297421478047,1.4736267157324125e-05,0.8342516971667144,0.12519655573344576,0.04055174709983998,22.38584832100787,177219e26a355ea2ce209302f647bcc036db4b94d0dfd976428a794921b61682
tokyo_hachiko,q10,0.1,0.004125188792137627,1.7983463204583157e-06,0.8297720106309993,0.10475899960358911,0.06546898976541178,27.730995564987097,504a21bbd6dc1b2713a492df80599e1605f90e911fc8154902ba4f03f5bf9d71
tokyo_hachiko,q50,0.5,0.0066391112180285,2.2119401030264044e-06,0.8297720106309993,0.10475899960358911,0.06546898976541178,27.730995564987097,504a21bbd6dc1b2713a492df80599e1605f90e911fc8154902ba4f03f5bf9d71
tokyo_hachiko,q90,0.9,0.020219608367431863,2.3821083545000292e-05,0.8297720106309993,0.10475899960358911,0.06546898976541178,27.730995564987097,504a21bbd6dc1b2713a492df80599e1605f90e911fc8154902ba4f03f5bf9d71
london_trafalgar,q10,0.1,0.007353194270673638,2.590151868865908e-06,0.8256464246360622,0.11741805398460539,0.05693552137933254,26.003769627008296,639d1ab4fcb47717acc04fb1772e7368bcb7f6ccb880ae80b3b89f471e3e1dda
london_trafalgar,q50,0.5,0.00945449935119438,4.628324153874337e-06,0.8256464246360622,0.11741805398460539,0.05693552137933254,26.003769627008296,639d1ab4fcb47717acc04fb1772e7368bcb7f6ccb880ae80b3b89f471e3e1dda
london_trafalgar,q90,0.9,0.01751592297615143,8.382419622233434e-06,0.8256464246360622,0.11741805398460539,0.05693552137933254,26.003769627008296,639d1ab4fcb47717acc04fb1772e7368bcb7f6ccb880ae80b3b89f471e3e1dda
milan_duomo,q10,0.1,0.0042831472663609396,8.855617681435626e-07,0.78444737973676,0.15344779487713772,0.06210482538610218,22.673402256015834,4c339b989ad5aced354814bb79800ef46bf3e4dff1e5cfadbba655fe9a202911
milan_duomo,q50,0.5,0.00609343698421979,2.462059248256139e-06,0.78444737973676,0.15344779487713772,0.06210482538610218,22.673402256015834,4c339b989ad5aced354814bb79800ef46bf3e4dff1e5cfadbba655fe9a202911
milan_duomo,q90,0.9,0.008437546929854746,4.475441483534803e-06,0.78444737973676,0.15344779487713772,0.06210482538610218,22.673402256015834,4c339b989ad5aced354814bb79800ef46bf3e4dff1e5cfadbba655fe9a202911
krakow_rynek,q10,0.1,0.0052955786374394055,5.177556605840293e-06,0.8156478310000326,0.12508061681994584,0.05927155218002144,19.35668865099069,ae47eaa9fd326ca40e7fb7bbf6293a593a69399b5ac6413a1ccd59a34ab9ccbf
krakow_rynek,q50,0.5,0.010447385566759407,3.28857718629374e-06,0.8156478310000326,0.12508061681994584,0.05927155218002144,19.35668865099069,ae47eaa9fd326ca40e7fb7bbf6293a593a69399b5ac6413a1ccd59a34ab9ccbf
krakow_rynek,q90,0.9,0.013276392289290544,4.8042504499496925e-06,0.8156478310000326,0.12508061681994584,0.05927155218002144,19.35668865099069,ae47eaa9fd326ca40e7fb7bbf6293a593a69399b5ac6413a1ccd59a34ab9ccbf
toulouse_capitole,q10,0.1,0.008268051449405518,2.5572323809607492e-06,0.8044742702413071,0.12767319081484213,0.06785253894385067,40.01292885901057,7ea58c4e498f891f8f49f1bdabca5b66116b0a0ff176f13044186a29f7e082da
toulouse_capitole,q50,0.5,0.011632641414152222,3.3709070699701245e-06,0.8044742702413071,0.12767319081484213,0.06785253894385067,40.01292885901057,7ea58c4e498f891f8f49f1bdabca5b66116b0a0ff176f13044186a29f7e082da
toulouse_capitole,q90,0.9,0.014038411865837945,4.42603352673369e-06,0.8044742702413071,0.12767319081484213,0.06785253894385067,40.01292885901057,7ea58c4e498f891f8f49f1bdabca5b66116b0a0ff176f13044186a29f7e082da
