site,standpoint,route_distance_m,direct_stratum,atlas_total_transfer_m_inv2,geometric_total_transfer_m_inv2,total_transfer_change_db,atlas_wbsar_m2_per_kg,geometric_wbsar_m2_per_kg,wbsar_change_db
madrid_plazamayor,0,0.0,direct_visible_in_both,0.00040626608400040225,0.00038342814852992664,0.25126575485115793,0.02260098444205501,0.02112502361369628,0.2933015325569848
madrid_plazamayor,1,6.000709825361423,direct_visible_in_both,0.0003931305598236524,0.00037596107153455276,0.19393926091622443,0.021297164869264338,0.020163449584017352,0.23756959258286237
madrid_plazamayor,2,12.000819088408239,direct_visible_in_both,0.0004202834349884981,0.00040756437910491046,0.13346053199054317,0.022303891982781824,0.021457336345811193,0.1680484428105575
madrid_plazamayor,3,18.000859694906147,direct_visible_in_both,0.0004297489262432307,0.00041258797479152594,0.17698234286794814,0.022741466386081686,0.021652183612927235,0.2131676357444309
madrid_plazamayor,4,22.91187027561024,direct_visible_in_both,0.00041338665209738186,0.000392882423982473,0.22093848903115987,0.022458210787168493,0.02114612752937362,0.2614430664818248
madrid_plazamayor,5,28.9132895536598,direct_visible_in_both,0.00042263485346634314,0.0003958121002313133,0.2847624245924922,0.023517750597343484,0.021836387173155686,0.32214994397444874
madrid_plazamayor,6,33.84593210872875,direct_visible_in_both,0.0004028151476731684,0.00038322127542586885,0.21656181677045522,0.0227747793271381,0.02146123956094133,0.25799375244142875
madrid_plazamayor,7,39.846013201012106,direct_visible_in_both,0.00041105913485727153,0.0003910729195466511,0.21646560263007653,0.023215626975317687,0.02187205413939396,0.2589084475679019
madrid_plazamayor,8,45.57474381803982,direct_visible_in_both,0.0004120810096798794,0.00038930746187317196,0.2468987304180806,0.023066669604525334,0.021634383085958095,0.278403794392144
madrid_plazamayor,9,51.5748453201665,direct_visible_in_both,0.0003958351024943059,0.0003731175183351612,0.25668664444605277,0.022185696265516988,0.020783423416283094,0.28355977471463745
madrid_plazamayor,10,57.574939817269176,direct_visible_in_both,0.0003904468994335784,0.0003687432902392914,0.2483785190667602,0.021891259750127744,0.020557985308177762,0.2729020275816701
madrid_plazamayor,11,63.57494338178961,direct_visible_in_both,0.0003921986009906501,0.00036846901138428437,0.271050710385612,0.021965470564783342,0.02052336248380255,0.2949199583739369
madrid_plazamayor,12,69.57494600616444,direct_visible_in_both,0.0003720637156985156,0.00035496427880831225,0.20432668122371472,0.020748778024441947,0.01967167816522887,0.2315111392827902
madrid_plazamayor,13,73.46908355996881,direct_visible_in_both,0.00034903187996847496,0.0003367614611233924,0.15542711331848527,0.019357013578270448,0.018567041552077463,0.18095645359440318
