city,campaign_identity_sha256,replicas,transport_topology,campaign_components,raw_all_specular_transfer_m_inv2,raw_first_diffuse_transfer_m_inv2,standpoint,x_m,y_m,z_m,route_distance_m,raw_total_transfer_m_inv2,raw_direct_transfer_m_inv2,multipath_surplus_db,peak_sab_ensemble_field,peak_sab_mean_per_replica,mean_sab,absorbed_power,wbsar
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00021311448934600624,5.382148871326258e-06,0,-6.4231959398242084,-14.907748511581786,52.1987624674858,,0.0010280142026844396,0.0008095175644671072,1.0377283848672096,3.4746768902488885,3.4746768902488885,2.136695215916062,4.000957389487099,0.05526184239623064
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00023369431317119994,5.386704728781345e-06,1,-5.235465303805377,-9.026481986736792,52.339019575064185,,0.001076618035678444,0.0008375370177784627,1.0905763966643893,3.9920072826584816,3.9920072826584816,2.2471437955139835,4.207772127222729,0.05811839954727527
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00022773880496113587,5.145680525699357e-06,2,-4.092835497172836,-3.137495780852446,52.33501436553312,,0.001120574983191499,0.0008876904977046638,1.0117935163249028,4.434877657360529,4.434877657360529,2.288113851043471,4.284488471789507,0.059178017566153394
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00028693181976666366,6.625173867831402e-06,3,-3.2569253561226734,2.80399008011613,52.330931145917816,,0.0012115604901478181,0.0009180034965133228,1.2050076688332616,4.807473079098134,4.807473079098134,2.4192241710722873,4.529992275911804,0.06256895408717962
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00023779460441983706,8.970168322110028e-06,4,-2.333989539257524,8.731858810927548,52.32710368484365,,0.0012467120179151436,0.0009999472451731968,0.9578905769560861,5.257037502395711,5.257037502395711,2.3977434507196165,4.489769671308989,0.062013393250124144
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00027480342356543685,1.5439603383627963e-05,5,-1.3150225922981924,14.644701305109546,52.4147968936823,,0.0013022188519207986,0.0010119758249717335,1.0951384044352122,5.564770151856208,5.564770151856208,2.4002019296724995,4.494373168082962,0.062076977459709415
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.0002851329323701901,1.6730695644658364e-05,6,-0.2751265581568946,20.553888350344074,52.51453739189807,,0.001326081534535518,0.00102421790652067,1.1217786323533019,5.837039803727136,5.837039803727136,2.381668293086498,4.459668971761243,0.06159763773150887
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.0003262482705284229,1.8322467275063754e-05,7,0.8536009812348264,26.444046829177857,52.51181206567555,,0.001385293347263188,0.001040722609459701,1.2420675895647575,6.045840570613737,6.045840570613737,2.5151826834333812,4.709674392600923,0.06505075127901826
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00035514573922928663,2.2535364914827895e-05,8,2.3504014881327517,32.25434701441356,52.6017513711259,,0.0014646644344962585,0.0010869833303521442,1.2951525206563832,6.358643216638609,6.358643216638609,2.653941625087299,4.969500224957475,0.06863950586957838
Korenmarkt,4b701e0a107c1de9acb960d927b973011a09ec4bb0f85faf8dd605ba6f98523d,16,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.0003722402807278585,2.261564789185534e-05,9,2.608824390700596,33.25749648673098,52.656605736549814,,0.0014716636640317447,0.001076807735412031,1.3567040039240428,6.241075353717338,6.241075353717338,2.6664052504547913,4.992838337778814,0.0689618554941825
