country,band,scenario,mean_mw_m2,median_mw_m2,iqr_mw_m2,availability_note,available
Hungary,Mobile DL 700 MHz,NU,0.03,0.00,0.01,,true
Hungary,Mobile DL 700 MHz,DL,0.03,0.00,0.01,,true
Hungary,Mobile DL 700 MHz,UL,0.03,0.00,0.01,,true
Hungary,Mobile DL 800 MHz,NU,0.12,0.01,0.06,,true
Hungary,Mobile DL 800 MHz,DL,0.10,0.01,0.05,,true
Hungary,Mobile DL 800 MHz,UL,0.09,0.01,0.05,,true
Hungary,Mobile DL 900 MHz,NU,0.16,0.02,0.11,,true
Hungary,Mobile DL 900 MHz,DL,0.14,0.01,0.08,,true
Hungary,Mobile DL 900 MHz,UL,0.13,0.02,0.09,,true
Hungary,Mobile DL 1.4 GHz,NU,0.00,0.00,0.00,,true
Hungary,Mobile DL 1.4 GHz,DL,0.00,0.00,0.00,,true
Hungary,Mobile DL 1.4 GHz,UL,0.00,0.00,0.00,,true
Hungary,Mobile DL 1.8 GHz,NU,0.20,0.02,0.12,,true
Hungary,Mobile DL 1.8 GHz,DL,0.16,0.02,0.10,,true
Hungary,Mobile DL 1.8 GHz,UL,0.15,0.02,0.11,,true
Hungary,Mobile DL 2.1 GHz,NU,0.07,0.01,0.04,,true
Hungary,Mobile DL 2.1 GHz,DL,0.06,0.00,0.03,,true
Hungary,Mobile DL 2.1 GHz,UL,0.05,0.00,0.03,,true
Hungary,Mobile DL 2.6 GHz,NU,0.02,0.00,0.00,,true
Hungary,Mobile DL 2.6 GHz,DL,0.01,0.00,0.00,,true
Hungary,Mobile DL 2.6 GHz,UL,0.03,0.00,0.00,,true
Hungary,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
Hungary,Mobile UL 700 MHz,DL,0.18,0.00,0.03,,true
Hungary,Mobile UL 700 MHz,UL,0.53,0.00,0.13,,true
Hungary,Mobile UL 800 MHz,NU,0.00,0.00,0.00,,true
Hungary,Mobile UL 800 MHz,DL,0.38,0.00,0.20,,true
Hungary,Mobile UL 800 MHz,UL,1.04,0.00,0.05,,true
Hungary,Mobile UL 900 MHz,NU,0.01,0.00,0.00,,true
Hungary,Mobile UL 900 MHz,DL,0.00,0.00,0.00,,true
Hungary,Mobile UL 900 MHz,UL,0.00,0.00,0.00,,true
Hungary,Mobile UL 1.8 GHz,NU,0.01,0.00,0.00,,true
Hungary,Mobile UL 1.8 GHz,DL,0.44,0.00,0.03,,true
Hungary,Mobile UL 1.8 GHz,UL,5.24,0.01,4.42,,true
Hungary,Mobile UL 2.1 GHz,NU,0.00,0.00,0.00,,true
Hungary,Mobile UL 2.1 GHz,DL,0.41,0.00,0.00,,true
Hungary,Mobile UL 2.1 GHz,UL,0.51,0.00,0.00,,true
Hungary,Mobile UL 2.6 GHz,NU,0.00,0.00,0.00,,true
Hungary,Mobile UL 2.6 GHz,DL,0.15,0.00,0.00,,true
Hungary,Mobile UL 2.6 GHz,UL,1.67,0.00,0.00,,true
Hungary,Mobile TDD 2.6 GHz,NU,0.00,0.00,0.00,,true
Hungary,Mobile TDD 2.6 GHz,DL,0.00,0.00,0.00,,true
Hungary,Mobile TDD 2.6 GHz,UL,0.00,0.00,0.00,,true
Hungary,Mobile TDD 3.5 GHz,NU,0.02,0.00,0.00,,true
Hungary,Mobile TDD 3.5 GHz,DL,0.46,0.00,0.00,,true
Hungary,Mobile TDD 3.5 GHz,UL,0.14,0.00,0.00,,true
Italy,Broadcast,NU,0.11,0.02,0.09,,true
Italy,Broadcast,DL,0.12,0.02,0.09,,true
Italy,Broadcast,UL,0.17,0.02,0.12,,true
