site,quantile,probability,normalized_wbsar_estimate,seed_standard_error,direct_share,all_specular_share,first_diffuse_share,observed_compute_seconds,campaign_identity_sha256
korenmarkt,q10,0.1,0.006332245165137541,1.711869287288418e-06,0.7963335232142987,0.14091991471755716,0.06274656206814412,215.59763304700004,34c3234e3fd0a853e8a38e524786d84b9a94b667d5f8163a235da9fd88f76986
korenmarkt,q50,0.5,0.011347900418713365,3.0038496652552834e-06,0.7963335232142987,0.14091991471755716,0.06274656206814412,215.59763304700004,34c3234e3fd0a853e8a38e524786d84b9a94b667d5f8163a235da9fd88f76986
korenmarkt,q90,0.9,0.016726432896650278,5.592731232202432e-06,0.7963335232142987,0.14091991471755716,0.06274656206814412,215.59763304700004,34c3234e3fd0a853e8a38e524786d84b9a94b667d5f8163a235da9fd88f76986
prague_staromestske,q10,0.1,0.005241769508018084,1.4612281549895167e-06,0.765222858638933,0.18093838694655168,0.053838754414515494,281.18629651700024,31d6b348a6d07b8b77d515477bb123873839f5a9993e353e46a3773dc309c126
prague_staromestske,q50,0.5,0.010384288457169539,1.50548500271067e-06,0.765222858638933,0.18093838694655168,0.053838754414515494,281.18629651700024,31d6b348a6d07b8b77d515477bb123873839f5a9993e353e46a3773dc309c126
prague_staromestske,q90,0.9,0.01235050168010903,1.272275655389469e-06,0.765222858638933,0.18093838694655168,0.053838754414515494,281.18629651700024,31d6b348a6d07b8b77d515477bb123873839f5a9993e353e46a3773dc309c126
brussels_grandplace,q10,0.1,0.003139796293934633,1.5070899446098382e-06,0.7594518061668651,0.17179931735326992,0.06874887647986495,219.2496301200015,90cdb30017e34f1cba205c60ee2dff67adbc413cf487b56816f4fa53cf051f0e
brussels_grandplace,q50,0.5,0.008744231726353774,1.8878539579894104e-06,0.7594518061668651,0.17179931735326992,0.06874887647986495,219.2496301200015,90cdb30017e34f1cba205c60ee2dff67adbc413cf487b56816f4fa53cf051f0e
brussels_grandplace,q90,0.9,0.014423246741460711,1.1163467106194257e-06,0.7594518061668651,0.17179931735326992,0.06874887647986495,219.2496301200015,90cdb30017e34f1cba205c60ee2dff67adbc413cf487b56816f4fa53cf051f0e
madrid_plazamayor,q10,0.1,0.0033998498269129443,1.3923564863306608e-06,0.7520459432721975,0.19577978360481438,0.05217427312298797,260.3970646260003,ad9a2965010eda4a995f504755a0e2ebbcfac4635e9fb6692f7b7a9f69055a53
madrid_plazamayor,q50,0.5,0.01351869059339043,1.8170955375576608e-06,0.7520459432721975,0.19577978360481438,0.05217427312298797,260.3970646260003,ad9a2965010eda4a995f504755a0e2ebbcfac4635e9fb6692f7b7a9f69055a53
madrid_plazamayor,q90,0.9,0.017089206934281634,1.3835363185660831e-06,0.7520459432721975,0.19577978360481438,0.05217427312298797,260.3970646260003,ad9a2965010eda4a995f504755a0e2ebbcfac4635e9fb6692f7b7a9f69055a53
mexico_zocalo,q10,0.1,0.0053669430082636735,3.6357384277413227e-06,0.7814716727142389,0.17728139078480312,0.04124693650095795,225.46032098100005,2fba3d34dae768d4bb616177f6c857ad0f62416871a81f4c02f4fa014ccc65f0
mexico_zocalo,q50,0.5,0.010039823036980346,2.40792682008224e-06,0.7814716727142389,0.17728139078480312,0.04124693650095795,225.46032098100005,2fba3d34dae768d4bb616177f6c857ad0f62416871a81f4c02f4fa014ccc65f0
mexico_zocalo,q90,0.9,0.016391846661565266,5.557660058413663e-06,0.7814716727142389,0.17728139078480312,0.04124693650095795,225.46032098100005,2fba3d34dae768d4bb616177f6c857ad0f62416871a81f4c02f4fa014ccc65f0
tokyo_hachiko,q10,0.1,0.0038374498303149897,1.2124728111062937e-06,0.7986950944743982,0.1306266392835586,0.07067826624204315,278.77668156100077,805a03e069cc051cfd609c9b44bc5280f7e1ee18219ace5d3cff2a3bae3a229f
tokyo_hachiko,q50,0.5,0.007058287003373194,2.5552277305740072e-06,0.7986950944743982,0.1306266392835586,0.07067826624204315,278.77668156100077,805a03e069cc051cfd609c9b44bc5280f7e1ee18219ace5d3cff2a3bae3a229f
tokyo_hachiko,q90,0.9,0.00908420374932553,2.791991484531765e-06,0.7986950944743982,0.1306266392835586,0.07067826624204315,278.77668156100077,805a03e069cc051cfd609c9b44bc5280f7e1ee18219ace5d3cff2a3bae3a229f
london_trafalgar,q10,0.1,0.005745044426827504,7.078465177911918e-07,0.8033573102685062,0.14866646481171025,0.04797622491978347,217.75141576999806,25861f7bb194fc13eaf59c6d5158bc0f67d6f8582eaf3830ab6291b7081bc2e2
london_trafalgar,q50,0.5,0.008877095335448597,1.645086971903377e-06,0.8033573102685062,0.14866646481171025,0.04797622491978347,217.75141576999806,25861f7bb194fc13eaf59c6d5158bc0f67d6f8582eaf3830ab6291b7081bc2e2
london_trafalgar,q90,0.9,0.01158789758933322,8.528073015895944e-06,0.8033573102685062,0.14866646481171025,0.04797622491978347,217.75141576999806,25861f7bb194fc13eaf59c6d5158bc0f67d6f8582eaf3830ab6291b7081bc2e2
milan_duomo,q10,0.1,0.0048449333180033815,1.0352669990911538e-06,0.7872277001545587,0.15202679181164427,0.06074550803379732,201.5719891129968,7eff8c33a04c377660794338a7a41480698ce4b4004fe8eb9dcb6aadfa4d110e
milan_duomo,q50,0.5,0.006717386951401314,1.0879980444007973e-06,0.7872277001545587,0.15202679181164427,0.06074550803379732,201.5719891129968,7eff8c33a04c377660794338a7a41480698ce4b4004fe8eb9dcb6aadfa4d110e
milan_duomo,q90,0.9,0.007649138605061833,5.229891037719609e-07,0.7872277001545587,0.15202679181164427,0.06074550803379732,201.5719891129968,7eff8c33a04c377660794338a7a41480698ce4b4004fe8eb9dcb6aadfa4d110e
krakow_rynek,q10,0.1,0.005803419354396206,5.878533066234746e-07,0.8058015588681106,0.1461983839093628,0.0480000572225265,179.7365966870002,ce03b39c89637ef83e3682d7dcfeafd14bd0a65149961890ba2a9adf5a9daacd
krakow_rynek,q50,0.5,0.0076125127810710265,2.139832805094602e-06,0.8058015588681106,0.1461983839093628,0.0480000572225265,179.7365966870002,ce03b39c89637ef83e3682d7dcfeafd14bd0a65149961890ba2a9adf5a9daacd
krakow_rynek,q90,0.9,0.009369040969489572,2.0986870824835367e-06,0.8058015588681106,0.1461983839093628,0.0480000572225265,179.7365966870002,ce03b39c89637ef83e3682d7dcfeafd14bd0a65149961890ba2a9adf5a9daacd
toulouse_capitole,q10,0.1,0.004909490890130095,2.5498813974650394e-06,0.7868496804786536,0.15304777209787324,0.06010254742347327,406.7297767890054,3120bd8b2ddf0e8db7d3cfae8e77eead7b1f1dd76b94a217c6394905f12c6cf9
toulouse_capitole,q50,0.5,0.010052812721705015,1.721321525234332e-06,0.7868496804786536,0.15304777209787324,0.06010254742347327,406.7297767890054,3120bd8b2ddf0e8db7d3cfae8e77eead7b1f1dd76b94a217c6394905f12c6cf9
toulouse_capitole,q90,0.9,0.012265371936721831,2.8653034151889664e-06,0.7868496804786536,0.15304777209787324,0.06010254742347327,406.7297767890054,3120bd8b2ddf0e8db7d3cfae8e77eead7b1f1dd76b94a217c6394905f12c6cf9
