scope,site,standpoint,component,category,event_count,transport_contribution,transport_fraction,mean_sab_w_m2,absorbed_power_w,sar_wb_w_kg,body_fraction_sar_wb_w_kg,status
standpoint,korenmarkt,1,first_diffuse,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,1,first_diffuse,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,1,non_direct,atlas_interface,1286317,0.0033676438114565803,0.880361561385391,7.0837940878107,13.264389834410816,0.18320980434269085,0.88556301516658,pass
standpoint,korenmarkt,1,non_direct,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,1,non_direct,geometric_no_panorama_evidence,17186,3.7800430293533893e-06,0.0009881699994828623,0.008987084348061548,0.01682829692530806,0.00023243504040480734,0.00112349814438006,pass
standpoint,korenmarkt,1,non_direct,geometric_evidence_refused_host_compatibility,97283,0.0004538724319137689,0.11865026861512605,0.9064170401538812,1.6972640401620855,0.02344287348290173,0.11331348668903997,pass
standpoint,korenmarkt,1,non_direct,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,1,non_direct,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,1,non_direct,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,direct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
standpoint,korenmarkt,2,specular,atlas_interface,11760,0.003400398104897604,0.9331957353177814,7.0370767021591725,13.176911626031968,0.18200154179602177,0.9350992659964324,pass
standpoint,korenmarkt,2,specular,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,specular,geometric_no_panorama_evidence,96,9.334698680457835e-06,0.0025617885701480505,0.022117724265465218,0.041415393117081575,0.000572035816534276,0.002939042531652683,pass
standpoint,korenmarkt,2,specular,geometric_evidence_refused_host_compatibility,928,0.00023408807580011645,0.06424247611207053,0.46629185941960766,0.8731305460440774,0.01205981417187952,0.06196169147191483,pass
standpoint,korenmarkt,2,specular,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,specular,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,specular,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,first_diffuse,atlas_interface,1308052,3.0115424575492076e-05,0.36578524969978393,0.053857109274702414,0.10084732615299666,0.0013929188695165286,0.31022654069850986,pass
standpoint,korenmarkt,2,first_diffuse,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,first_diffuse,geometric_no_panorama_evidence,10729,6.541292277651278e-07,0.007945125339813825,0.0015489548237801183,0.002900414716156789,4.0060976742497077e-05,0.008922255634416081,pass
standpoint,korenmarkt,2,first_diffuse,geometric_evidence_refused_host_compatibility,92901,5.156133460793251e-05,0.6262696249604023,0.11819967947663866,0.2213286562886384,0.0030570256393458346,0.6808512036670741,pass
standpoint,korenmarkt,2,first_diffuse,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,first_diffuse,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,first_diffuse,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,non_direct,atlas_interface,1319812,0.003430513529473096,0.9206585623076575,7.0909338114338745,13.277758952184964,0.1833944606655383,0.921009098779229,pass
