rays,cells,site,wbSAR_q10_change_db,wbSAR_q50_change_db,wbSAR_q90_change_db,wbSAR_max_abs_db,directional_absolute_l1_q10,directional_absolute_l1_q50,directional_absolute_l1_q90,directional_normalized_l1_q10,directional_normalized_l1_q50,directional_normalized_l1_q90,directional_relative_l2_q90,directional_min_cosine,variance_time_q50_ratio,deterministic_invariance,sealed_baseline_replay_parity,migration_recommended
25000,4096,madrid_plazamayor,0.0014116718525609949,0.0007973445109199489,-0.00038351848747389665,0.001973790574144244,0.0011915455802053222,0.0015937706005494307,0.002585462797169483,0.30484770626062035,0.3873683168577762,0.5727675024904518,1.1285520540757044,0.7255026398219417,8.007290103479008,pass,pass,False
25000,4096,mexico_zocalo,0.5036859967344679,-4.8343329418867416e-05,0.002507101411484737,0.7073621561957917,7.689878820029878e-06,0.002304745774236767,0.012349117594276187,0.24688924667546935,0.3644841462454257,0.8774980143368515,0.4043819270924819,0.9211205557228553,6.069696520033401,pass,pass,False
25000,4096,prague_staromestske,-9.585685243223711e-05,-0.00016001314668566795,9.069093452081185e-05,0.0011230303068664618,0.0010160456957607124,0.001287522697408728,0.0026881172363552564,0.3530657120004106,0.42582937345834265,0.6138020977605056,0.5451967235472708,0.6076186036062666,6.951606666677202,pass,pass,False
50000,4096,madrid_plazamayor,0.0007790090535026807,0.0005107831041402972,-0.0002882224026806892,0.0011085181178815669,0.0008619254665234041,0.001175385605552578,0.001838711315011717,0.2137666769850219,0.27764397353716574,0.39951302358833635,0.5485841329869979,0.8961223353697211,5.206543293731358,pass,pass,False
50000,4096,mexico_zocalo,0.5638407601543206,-0.00011497075413019826,0.0007412863604774049,0.5638407601543206,6.110894336521211e-06,0.0015557421674832165,0.008050881996034999,0.1674599294919798,0.24823939630554165,0.6789419645795945,0.19677164942342057,0.9624963271792917,3.541329869491888,pass,pass,False
50000,4096,prague_staromestske,-6.268671304138274e-05,-0.00011177147793418077,-3.1780234147694883e-06,0.0009087727977295335,0.0007411326531080021,0.0009290747181433987,0.0017805126494836448,0.2515695876920639,0.3037495008330351,0.4385667752493009,0.3002139448353292,0.8992150138614475,5.084353412577771,pass,pass,False
100000,4096,madrid_plazamayor,0.00016771104955540524,0.00013222785209471147,-0.00011114913719746376,0.000523730579068168,0.0005042316018436537,0.0007144868405898756,0.0011309578555508133,0.12903565048143698,0.1691758224334079,0.25097284742154613,0.2344522333175823,0.9545781666748341,2.920048273903458,pass,pass,False
100000,4096,mexico_zocalo,0.21725892861448737,-0.0001694474559871286,0.0005564407261982075,0.21725892861448737,3.634095524555967e-06,0.0009168422065047679,0.00470445922043604,0.09626601133604554,0.14421321371572632,0.40021795550889805,0.10708244449722319,0.9898715194830467,1.6798650952903413,pass,pass,False
100000,4096,prague_staromestske,1.2301375357153005e-05,-6.513227743768613e-05,-4.8720173028962036e-05,0.0006548872281609165,0.000442929117838315,0.0005575489838723219,0.0010268435386693567,0.1511068496238397,0.18353508588132905,0.26447656316298457,0.18430563800923475,0.9538972054302945,2.1519612409421875,pass,pass,False
200000,1024,madrid_plazamayor,1.8940461506241438e-06,-1.503676215893825e-07,-2.1056915820508865e-06,6.041472109387597e-06,0.0013700439238360333,0.0016405418333002002,0.0024206333329748254,0.35523917084545115,0.39310578118294254,0.468270187025179,0.5113062221319598,0.7901512072759393,0.9783462862715354,pass,pass,False
200000,1024,mexico_zocalo,0.00033444659149411336,3.2416229714317268e-06,9.766931389196617e-05,0.0020697456764675313,4.635951161389021e-06,0.0024187511977470603,0.012741231052174354,0.33425545878841656,0.36616301213384045,0.49126480809041534,0.6354350123575733,0.7781211529759218,1.0262863114183332,pass,pass,False
200000,1024,prague_staromestske,2.2589015451032818e-06,2.0352997836598513e-06,1.7931335970219623e-06,1.0351457954269968e-05,0.0009214923535212701,0.0011969508671616951,0.0020245804107460207,0.3553586151329384,0.3985052605736488,0.4533815569430464,0.5277692933043536,0.6970004132596088,1.0279663503888417,pass,pass,False
200000,2048,madrid_plazamayor,1.084970038632167e-08,-4.754555681273568e-07,-6.175173999644365e-07,6.562516281878794e-06,0.0007975977910296052,0.0009874621357432892,0.0015752492976266186,0.19931469019802833,0.23912921122397157,0.3117592051286905,0.3651668307823019,0.9014686210988198,0.9845171535678745,pass,pass,False
200000,2048,mexico_zocalo,-0.000233658014004259,5.332123711434724e-07,3.9100206948121544e-05,0.0008867400199698488,4.282168565646869e-06,0.0015949856092008956,0.0075998057977694775,0.19562179388060774,0.24053422866013757,0.45543106112995413,0.3863064161738264,0.828753769611203,0.9980029129396422,pass,pass,False
200000,2048,prague_staromestske,1.413458001882162e-06,6.408826715808776e-07,-2.1400583294523696e-07,4.794716797244279e-06,0.00057739838513051,0.0007275944206192602,0.0012937873270939225,0.20757676993890856,0.24140503760638551,0.3027392252934133,0.3339071768266656,0.8693026486919041,1.0527071814211082,pass,pass,False
200000,4096,madrid_plazamayor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,1.0,pass,pass,True
200000,4096,mexico_zocalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,1.0,pass,pass,True
200000,4096,prague_staromestske,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,1.0,pass,pass,True
