freq_ghz,T0,T_bar,T_bar_times_AabA
0.3,0.380454956864873,0.40563248646984,0.3508721007964116
0.45,0.40950932052318634,0.43256132070543163,0.37416554241019834
0.7,0.4343483269015207,0.4553258773322399,0.3938568838923875
0.9,0.4451924273518762,0.46518895384756964,0.40238844507814775
1.0,0.44908384389382117,0.46871635952175694,0.40543965098631973
1.45,0.46012659492387026,0.47868675356647594,0.4140640418350017
2.0,0.46695167262242104,0.48481119880436474,0.41936168696577547
2.4,0.46998551742387373,0.48751882375172184,0.4217037825452394
3.0,0.4731029277340574,0.49028516541885764,0.42409666808731183
5.8,0.4806056430704766,0.4968083599804955,0.4297392313831286
6.0,0.48100359755025635,0.4971471057822928,0.43003224650168326
10.0,0.48882802508593537,0.5037091122900028,0.43570838213085245
28.0,0.5359486588151586,0.5424847753601125,0.4692493306864973
40.0,0.5704359578326484,0.5706618794643231,0.4936225257366395
60.0,0.622379097452781,0.6129453619879311,0.5301977381195604
100.0,0.7006148742849051,0.6767222827065782,0.5853647745411902
