record_type,site,look,component,metric,quantile,standpoint,stratum,estimate,sealed_16_estimate,change_from_sealed_16_db,bootstrap_95_low,bootstrap_95_high
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,6,nonshadowed,0.06159763773150887,0.06159763773150887,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,7,nonshadowed,0.06505075127901826,0.06505075127901826,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,8,nonshadowed,0.06863950586957838,0.06863950586957838,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,9,nonshadowed,0.0689618554941825,0.0689618554941825,0.0,,
route_quantile,korenmarkt,24,direct,total_transfer_m_inv2,q10,,,0.000834735072447327,,-9.643274665532871e-16,0.000834735072447327,0.000834735072447327
route_quantile,korenmarkt,24,direct,total_transfer_m_inv2,q50,,,0.0010059615350724652,,0.0,0.0010059615350724652,0.0010059615350724652
route_quantile,korenmarkt,24,direct,total_transfer_m_inv2,q90,,,0.0010778252949060426,,1.928654933106574e-15,0.0010778252949060426,0.0010778252949060426
route_quantile,korenmarkt,24,direct,wbsar_m2_per_kg,q10,,,0.04502505117330418,,0.0,0.04502505117330418,0.04502505117330418
route_quantile,korenmarkt,24,direct,wbsar_m2_per_kg,q50,,,0.04747617670514369,,9.64327466553287e-16,0.04747617670514369,0.04747617670514369
route_quantile,korenmarkt,24,direct,wbsar_m2_per_kg,q90,,,0.05027584881915907,,0.0,0.05027584881915907,0.05027584881915907
route_quantile,korenmarkt,24,all_specular,total_transfer_m_inv2,q10,,,0.0002262763733996229,,0.0,0.0002262763733996229,0.0002262763733996229
route_quantile,korenmarkt,24,all_specular,total_transfer_m_inv2,q50,,,0.00027996817796781346,,0.0,0.00027996817796781346,0.00027996817796781346
route_quantile,korenmarkt,24,all_specular,total_transfer_m_inv2,q90,,,0.0003568551933791438,,0.0,0.0003568551933791438,0.0003568551933791438
route_quantile,korenmarkt,24,all_specular,wbsar_m2_per_kg,q10,,,0.011984912612678863,,-1.446491199829931e-15,0.011984912612678863,0.011984912612678863
route_quantile,korenmarkt,24,all_specular,wbsar_m2_per_kg,q50,,,0.013538655357191742,,-9.643274665532871e-16,0.013538655357191742,0.013538655357191742
route_quantile,korenmarkt,24,all_specular,wbsar_m2_per_kg,q90,,,0.01695004719439666,,9.64327466553287e-16,0.01695004719439666,0.01695004719439666
route_quantile,korenmarkt,24,first_diffuse,total_transfer_m_inv2,q10,,,5.376743203226894e-06,,0.014758946601890546,5.330831405974658e-06,5.400935746799137e-06
route_quantile,korenmarkt,24,first_diffuse,total_transfer_m_inv2,q50,,,1.2223989057261104e-05,,0.006792304578746048,1.2165118293273576e-05,1.2281352613357605e-05
route_quantile,korenmarkt,24,first_diffuse,total_transfer_m_inv2,q90,,,2.256638479219567e-05,,0.004427030007703654,2.2463020973697014e-05,2.2646796619321452e-05
route_quantile,korenmarkt,24,first_diffuse,wbsar_m2_per_kg,q10,,,0.0002888727554377133,,0.022976270253412673,0.0002862537321791948,0.00029139508487422593
route_quantile,korenmarkt,24,first_diffuse,wbsar_m2_per_kg,q50,,,0.0006723747736556117,,0.007180444936466079,0.0006689497252424252,0.0006756599094773194
route_quantile,korenmarkt,24,first_diffuse,wbsar_m2_per_kg,q90,,,0.0012614492507690772,,0.0034834598510127155,0.0012553338145861112,0.0012671403388295015
route_quantile,korenmarkt,24,total,total_transfer_m_inv2,q10,,,0.0010717737212738595,,6.511341457132837e-05,0.001071728795230847,0.0010718190674197667
route_quantile,korenmarkt,24,total,total_transfer_m_inv2,q50,,,0.0012744845381223633,,6.5096736633166e-05,0.0012744256673583756,0.0012745419016784597
route_quantile,korenmarkt,24,total,total_transfer_m_inv2,q90,,,0.001465387349029472,,6.814030787265916e-05,0.0014652839852109733,0.0014654889881672427
route_quantile,korenmarkt,24,total,wbsar_m2_per_kg,q10,,,0.05783362608327821,,6.62520640847758e-05,0.05783095335521248,0.05783632812807288
route_quantile,korenmarkt,24,total,wbsar_m2_per_kg,q50,,,0.062046296113001984,,7.774846451066678e-05,0.062042871064588806,0.0620495812488237
route_quantile,korenmarkt,24,total,wbsar_m2_per_kg,q90,,,0.06867275223010724,,6.396246261486228e-05,0.06866663679392426,0.06867873170234687
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,0,nonshadowed,0.0010280419780989553,0.0010280142026844396,0.0001173383234392818,,
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,1,nonshadowed,0.001076632803848849,0.001076618035678444,5.957257554074208e-05,,
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,2,nonshadowed,0.0011205834786053926,0.001120574983191499,3.2925037996257075e-05,,
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,3,nonshadowed,0.001211583917117039,0.0012115604901478181,8.397521361233497e-05,,
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,4,nonshadowed,0.0012467249898333776,0.0012467120179151436,4.518768664566659e-05,,
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,5,nonshadowed,0.0013022440864113487,0.0013022188519207986,8.41570815895913e-05,,
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,6,nonshadowed,0.0013261217853242572,0.001326081534535518,0.00013182017616912486,,
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,7,nonshadowed,0.0013852870500402365,0.001385293347263188,-1.9742066909888957e-05,,
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,8,nonshadowed,0.0014646854101555411,0.0014646644344962585,6.219546018077497e-05,,
pointwise,korenmarkt,24,total,total_transfer_m_inv2,,9,nonshadowed,0.0014717047988948503,0.0014716636640317447,0.00012138911105997122,,
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,0,nonshadowed,0.055263476061119136,0.05526184239623064,0.0001283853611658768,,
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,1,nonshadowed,0.05811919830796255,0.05811839954727527,5.9687633820876974e-05,,
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,2,nonshadowed,0.059178556987144366,0.059178017566153394,3.958674212855523e-05,,
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,3,nonshadowed,0.06257027623308693,0.06256895408717962,9.17698902839031e-05,,
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,4,nonshadowed,0.06201421470672963,0.062013393250124144,5.752817082720268e-05,,
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,5,nonshadowed,0.06207837751927434,0.062076977459709415,9.794795295224813e-05,,
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,6,nonshadowed,0.06159991542801907,0.06159763773150887,0.0001605861481126912,,
