site,standpoint,route_distance_m,direct_stratum,atlas_total_transfer_m_inv2,geometric_total_transfer_m_inv2,total_transfer_change_db,atlas_wbsar_m2_per_kg,geometric_wbsar_m2_per_kg,wbsar_change_db
mexico_zocalo,0,0.0,zero_direct_in_both,1.497331958219345e-08,1.8546553280602657e-11,29.070548825151455,8.725273011860085e-07,1.0163078771421e-09,29.33753733124931
mexico_zocalo,1,5.990259595763594,zero_direct_in_both,1.888058804167376e-08,4.1367015430332563e-10,16.593613280927578,9.92187947769122e-07,1.8666242657997905e-08,17.255370400190476
mexico_zocalo,2,11.952757414067497,direct_visible_in_both,0.001471765672604589,0.0014391255525466797,0.0973998482762905,0.07169663460596802,0.07016562607652062,0.09374365939142826
mexico_zocalo,3,17.952588749810403,zero_direct_in_both,0.00010781609538746802,7.068072981623658e-11,61.83382574410664,0.004401596762875137,3.2590342499273183e-09,61.30521329058791
mexico_zocalo,4,24.037046390463235,direct_visible_in_both,0.004284395292829854,0.004574943625981365,-0.2849621342127061,0.17114333991246344,0.18612481992647154,-0.3644428746559966
mexico_zocalo,5,30.12815833335481,direct_visible_in_both,0.002749388257628641,0.0028754105113006916,-0.19463782498639542,0.14841399586940965,0.1553402196301839,-0.19809056751972806
mexico_zocalo,6,36.113197878376525,direct_visible_in_both,0.002262230065020727,0.002362029820019126,-0.18748606309087162,0.12906154022429828,0.1338467182057527,-0.15810883480369037
mexico_zocalo,7,41.91023309997505,direct_visible_in_both,0.0017796375309440495,0.0017824596209739297,-0.0068814427656952,0.10341770483547819,0.10301771388754287,0.016829871537297692
mexico_zocalo,8,48.65506877529115,direct_visible_in_both,0.012653746683857627,0.012727647165666722,-0.025289913031137923,0.75462157448218,0.7592192589064173,-0.026379987516399753
mexico_zocalo,9,55.439079659847344,direct_visible_in_both,0.005799301063269356,0.005628972832149861,0.12946502601100496,0.2957983257792987,0.2888074182400803,0.10387367330083926
mexico_zocalo,10,60.785024847729545,direct_visible_in_both,0.003744169158601193,0.003694316846813964,0.05821321184217543,0.2037647521400224,0.2012694332638833,0.05351236851139991
